unit_id,unit_scope,path_pattern,bucket,source_of_truth,storage_target,user_value,reliability,complexity_cost,operational_risk,observability_quality,proposed_strategy,status,notes
runtime_api,domain,src/api/**,source_runtime_tooling,yes,internal_repo,5,4,4,5,4,merge,reviewed_scored,High-value contract surface with evidence of duplicated endpoint wrappers and telemetry envelopes
runtime_services,domain,src/services/**,source_runtime_tooling,yes,internal_repo,5,4,5,5,3,simplify,reviewed_scored,Largest complexity concentration with two weak coverage pockets and critical mutation responsibilities
runtime_models,domain,src/models/**,source_runtime_tooling,yes,internal_repo,5,5,2,5,4,keep,reviewed_scored,High coverage and schema-contract authority with low pruning leverage
runtime_core,domain,src/core/**,source_runtime_tooling,yes,internal_repo,4,4,2,4,3,keep,reviewed_scored,Small shared primitives area with strong coverage and low complexity burden
runtime_entry,domain,main.py|src/config.py|src/database.py,source_runtime_tooling,yes,internal_repo,5,4,3,5,4,keep,reviewed_scored,Process startup and global config authority with high operational risk if changed
tests_api,domain,tests/api/**,source_tests,yes,internal_repo,5,4,3,4,5,keep,reviewed_scored,Primary endpoint-contract confidence layer used heavily in baseline and coverage runs
tests_service,domain,tests/service/**,source_tests,yes,internal_repo,4,4,3,3,4,keep,reviewed_scored,Validates service behavior and catches regressions in orchestration helpers
tests_integration,domain,tests/integration/**,source_tests,yes,internal_repo,4,3,4,3,4,simplify,reviewed_scored,Valuable confidence layer but higher maintenance and runtime cost than unit/API packs
tests_contract,domain,tests/contract/**,source_tests,yes,internal_repo,4,4,2,4,4,keep,reviewed_scored,Compatibility guardrails with moderate volume and low removal value
frontend_source,domain,client/src/**|client/*.json|client/*.ts,source_frontend,yes,internal_repo,4,3,3,3,3,simplify,reviewed_scored,Authored client behavior should stay but can be trimmed only after backend waves stabilize
frontend_vendor,artifact,client/node_modules/**,generated_dependency_vendor_local,no,local_generated_in_repo,2,5,4,2,4,isolate,reviewed_scored,Generated dependency tree should remain non-source-of-truth and local-in-place
frontend_build,artifact,client/dist/**,generated_build_output_local,no,local_generated_in_repo,1,5,2,1,4,delete,reviewed_scored,Generated build output should be reproducible and removable
playtest_runs,artifact,playtests/sweeps/**|playtests/agent_runs/**|playtests/long_runs/**,generated_playtest_artifact_relocate,no,parent_workspace_artifacts,2,4,4,1,2,isolate,reviewed_scored,High-volume generated artifacts prefer external artifact storage
playtest_markdown,artifact,playtests/*.md,generated_playtest_artifact_relocate,no,parent_workspace_artifacts,2,4,3,1,2,isolate,reviewed_scored,Generated run narratives useful for reference but not runtime-critical
playtest_logs,artifact,playtests/*.log|reports/*.log|*.log,generated_log_artifact_relocate,no,parent_workspace_artifacts,1,5,2,1,3,delete,reviewed_scored,Log outputs are reproducible diagnostics
reports_outputs,artifact,reports/**,report_output_artifact_relocate,no,parent_workspace_artifacts,2,4,3,1,3,isolate,reviewed_scored,Generated analysis outputs are useful but not source-of-truth
local_databases,artifact,*.db,local_db_artifact_relocate,no,parent_workspace_artifacts,1,4,3,2,2,isolate,reviewed_scored,Local DB snapshots should be treated as environment artifacts
local_caches,artifact,.pytest_cache/**|.ruff_cache/**|**/__pycache__/**,generated_cache_local,no,local_generated_in_repo,1,5,2,1,4,delete,reviewed_scored,Caches are disposable local acceleration state
harness_source,domain,playtest_harness/**|playtest_api_harness/**|playtest.py|playtests/analyze_run.py,source_harness_tooling,yes,internal_repo,3,3,3,2,3,demote,reviewed_scored,Useful for evaluation workflows but non-critical for production request path
planning_active,domain,improvements/** (excluding archive/history),planning_active_docs,yes,internal_repo,4,5,2,2,4,keep,reviewed_scored,Active governance docs support execution discipline with low technical risk
planning_archive,archive,improvements/history/**|improvements/majors/archive/**|improvements/minors/archive/**,planning_archive_history,no,internal_repo_archive,2,5,2,1,3,isolate,reviewed_scored,History retained as archive but excluded from active source-of-truth paths
repo_meta,domain,.github/**|README.md|Dockerfile|docker-compose.yml|.env.example|.gitignore,repo_meta_docs,yes,internal_repo,4,5,2,3,4,keep,reviewed_scored,Repository operational metadata should remain stable and explicit
data_assets,domain,db/**|twine_resources/**,data_asset,yes,internal_repo,3,5,2,3,3,keep,reviewed_scored,Small static fixtures/assets are low-cost and support deterministic behavior
